"departamento","municipio","totalartefactosdestruidos","areadespejada","ano","mes","tipodesminado","map","muse","aei"
"ANTIOQUIA","SAN FRANCISCO",87,54370,2010,8,"Comunidades",0,1,86
"ANTIOQUIA","SAN FRANCISCO",4,23971,2014,3,"Comunidades",4,0,0
"SANTANDER","EL CARMEN",1,1521.82,2011,9,"Comunidades",0,0,1
"NARIÑO","SAMANIEGO",1,2770,2009,11,"Comunidades",0,0,1
"ANTIOQUIA","SAN CARLOS",6,1115,2009,4,"Comunidades",0,0,6
"GUAVIARE","SAN JOSÉ DEL GUAVIARE",185,8174.49,2007,12,"Bases Militares",144,0,41
"ANTIOQUIA","SAN FRANCISCO",2,11808,2013,6,"Comunidades",1,1,0
"ANTIOQUIA","SAN CARLOS",4,927,2009,4,"Comunidades",0,0,4
"ANTIOQUIA","SAN CARLOS",1,4800,2010,8,"Comunidades",0,1,0
"META","EL DORADO",0,2817,2009,11,"Comunidades",0,0,0
"ANTIOQUIA","GRANADA",0,9073,2012,4,"Comunidades",0,0,0
"SANTANDER","SAN VICENTE DE CHUCURÍ",17,3243,2012,12,"Comunidades",3,0,14
"SANTANDER","EL CARMEN",2,2110,2012,8,"Comunidades",0,0,2
"ANTIOQUIA","SAN CARLOS",1,2039,2011,3,"Comunidades",0,0,1
"SANTANDER","SAN VICENTE DE CHUCURÍ",2,8353,2013,12,"Comunidades",1,1,0
"QUINDIO","CALARCÁ",133,1909.4,2008,11,"Bases Militares",126,7,0
"CALDAS","SAMANÁ",1,6834,2014,3,"Comunidades",1,0,0
"SANTANDER","EL CARMEN",0,1238,2012,5,"Comunidades",0,0,0
"META","EL DORADO",0,5208,2011,6,"Comunidades",0,0,0
"SANTANDER","SAN VICENTE DE CHUCURÍ",0,3687,2013,8,"Comunidades",0,0,0
"ANTIOQUIA","SAN FRANCISCO",9,7979,2011,11,"Comunidades",8,1,0
"ANTIOQUIA","COCORNÁ",0,2914,2014,9,"Comunidades",0,0,0
"ANTIOQUIA","SAN CARLOS",2,3140,2009,3,"Comunidades",0,0,2
"CUNDINAMARCA","TAUSA",178,3449.5,2007,9,"Bases Militares",178,0,0
"CALDAS","SAMANÁ",2,24953,2014,11,"Comunidades",1,1,0
"ANTIOQUIA","GRANADA",14,13331,2013,6,"Comunidades",5,0,9
