"PROYECTO_ID","CONVOCATORIA_ID","ANO_CONVOCATORIA","CODIGO_PROYECTO","TITULO","FECHA_REGISTRO","FECHA_APROBACION","AÑO_APROBACION","ENTIDAD","CONVOCATORIA","TIPO_FINANCIACION","DESCRIPCION_FINANCIACION","DEPENDENCIA_ID","PROGRAMA","AREA_TEMATICA","AREA_CIENCIA","ESTADO_PROYECTO","EXENCION"
35285,11118,2008,418645722091,"MEJORAMIENTO DEL PROCESO DE ELECTRODEPOSICION DE COBRE UTILIZANDO SOLUCIONES LIBRES DE CIANURO EN LA EMPRESA FANTAXIAS LTDA.",39812.5833333333,39931,2009,"FANTAXIAS LTDA.","457/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN VINCULACION DE INVESTIGADORES EN EMPRESAS","RC","RECUPERACIÓN CONTINGENTE",40,"OF RELACIONES SECTOR PRODUCTIV","C. DEL MEDIO AMBIENTE Y HÁBITAT","23 OTRAS CIENCIAS DE LA INGENIERÍA","EJECUCION","P"
35300,11115,2008,110145422096,"INFLUENCIA DE LA MASTITIS BOVINA SOBRE PARAMETROS DE CALIDAD DE LA LECHE EN FINCAS DE CUNDINAMARCA. CONTRIBUCION A LA COMPETITIVIDAD DE LA CADENA",40186.6326388889,39960,2009,"UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",17,"PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGÍA AGROPECUARIA",NA,"42 MEDICINA VETERINARIA","EJECUCION","P"
35071,11115,2008,212545421949,"Optimización del Manejo del Agua en los Cultivos de Grandilla (Passiflora Ligularis Jus) y Maracuya (Passiflora edullis variedad flavicarpa) para mejorar la competitividad.",39736.5159722222,39960,2009,"CORPORACIÓN CENTRO DE INVESTIGACIÓN PARA LA GESTIÓN TECNOLÓGICA DE PASSIFLORA DEL DEPARTAMENTO EL HUILA - CEPAS HUILA","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",17,"PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGÍA AGROPECUARIA",NA,"41 AGRICULTURA -  SELVICULTURA -  PESCA Y AFINES","EJECUCION","P"
35262,11115,2008,710645422095,"Mejoramiento de la base tecnológica en cosecha y acondicionamiento de mora (Rubus glaucus Benth)  y obtención de un néctar con propiedades nutraceuticas valuadas en un modelo animal.",39792.4097222222,39959,2009,"CORPORACIÓN COLOMBIANA DE INVESTIGACIÓN AGROPECUARIA - CORPOICA","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",17,"PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGÍA AGROPECUARIA",NA,"41 AGRICULTURA - SELVICULTURA - PESCA Y AFINES","EJECUCION","P"
35066,11115,2008,212545421909,"EVALUACIÓN DE TECNOLOGIAS INNOVADORAS PARA LA OBTENCION DE MATERIAL VEGETAL DE SIEMBRA EN CULTIVOS DE MARACUYA (Passiflora edulis f. flavicarpa) Y GRANADILLA (Passiflora ligularis Juss) PARA MEJORAR SU PRODUCTIVIDAD Y COMPETITIVIDAD EN EL DEPARTAMENTO DEL HUILA",39736.4701388889,39960,2009,"CORPORACIÓN CENTRO DE INVESTIGACIÓN PARA LA GESTIÓN TECNOLÓGICA DE PASSIFLORA DEL DEPARTAMENTO EL HUILA - CEPAS HUILA","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",17,"PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGÍA AGROPECUARIA",NA,"41 AGRICULTURA - SELVICULTURA - PESCA Y AFINES","EJECUCION","P"
35407,11115,2008,710645425024,"Desempeño fisiológico  de genotipos de cacao bajo diferentes regimenes hídricos en etapa de vivero",39878.5784722222,39959,2009,"CORPORACIÓN COLOMBIANA DE INVESTIGACIÓN AGROPECUARIA - CORPOICA","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",17,"PROGRAMA NACIONAL DE CIENCIA Y TECNOLOGÍA AGROPECUARIA",NA,"41 AGRICULTURA - SELVICULTURA - PESCA Y AFINES","EJECUCION","P"
35386,11115,2008,111545425003,"Influencia de diferentes variables atmosféricas en el comportamiento de esquemas de pinturas aplicados sobre acero galvanizado (Versión Actualizada)",39864.4076388889,39932,2009,"UNIVERSIDAD DE ANTIOQUIA - UDEA","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",19,"PROGRAMA NACIONAL DE INVESTIGACIÓN EN ENERGÍA Y MINERÍA","OTRAS","23 OTRAS CIENCIAS DE LA INGENIERÍA","EJECUCION","P"
35363,11115,2008,111845422111,"RECUPERACIÓN DE ORO ELIMINANDO EL USO DE MERCURIO E IMPLEMENTANDO NUEVAS ALTERNATIVAS TECNOLÓGICAS DE CONCENTRACIÓN EN LA ETAPA DE LIMPIEZA FINAL",39857.6729166667,39932,2009,"UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLÍN","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",19,"PROGRAMA NACIONAL DE INVESTIGACIÓN EN ENERGÍA Y MINERÍA","MINERÍA","23 OTRAS CIENCIAS DE LA INGENIERÍA","EJECUCION","P"
36029,11115,2008,110145425657,"PROGRAMA ESTRATÉGICO PARA LA INVESTIGACIÓN Y MODELAMIENTO DEL SISTEMA HIDROTERMAL-MAGMÁTICO EN ÁREAS CON POTENCIAL GEOTÉRMICO LOCALIZADAS EN EL FLANCO NOROCCIDENTAL DEL VOLCÁN NEVADO DEL RUIZ COLOMBIA.  ",39961.3916666667,40050,2009,"UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTÁ","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",19,"PROGRAMA NACIONAL DE INVESTIGACIÓN EN ENERGÍA Y MINERÍA",NA,NA,"EJECUCION","P"
36277,11115,2008,19545425911,"""MODELACIÓN DE LA ESTRUCTURA RESISTIVA DEL SUBSUELO A PARTIR DE SONDEOS MAGNETOTELÚRICOS EN ÁREAS GEOTÉRMICAS DE COLOMBIA. CASO NEVADO DEL RUIZ"" ",39965.6569444444,40084,2009,"INSTITUTO DE INVESTIGACIÓN E INFORMACIÓN GEOCIENTÍFICA MINERO-AMBIENTAL Y NUCLEAR - INGEOMINAS","454/08 - PROYECTOS INVESTIGACIÓN-INNOVACIÓN Y DESARROLLO-COFINANCIACIÓN-AÑO 2008-2009","CF","COFINANCIACIÓN",19,"PROGRAMA NACIONAL DE INVESTIGACIÓN EN ENERGÍA Y MINERÍA",NA,NA,"EJECUCION","P"
