"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
1,"COL0016283","SOCIALIZACION Y VIOLENCIA",1993,2,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
2,"COL0018751","ECITRONICA",2002,1,1,"Bogot ",11,"Distrito Capital","ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO ECI",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3,"COL0003481","DESARROLLO MORAL",1984,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
4,"COL0021425","I&D DE PRODUCTOS AGRICOLAS CON BASE EN MICROORGANISMOS",1986,1,769,"Subachoque",25,"Cundinamarca","LIVE SYSTEMS TECHNOLOGY SA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
5,"COL0013334","LINEA DE INVESTIGACION EN JOVENES Y CULTURAS JUVENILES",1995,6,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
6,"COL0013316","GENERO Y CULTURA",1998,9,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD CENTRAL",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
7,"COL0014583","PAVIMENTOS Y MATERIALES DE INGENIERIA",2002,12,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
8,"COL0008764","GRUPO DE INVESTIGACION EN GESTION INDUSTRIAL GEGI",2002,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
9,"COL0020571","PALABRA; PUEBLO Y VIDA",1998,12,1,"Bogot ",11,"Distrito Capital","CORPORACION UNIVERSITARIA MINUTO DE DIOS; UNIVERSIDAD DE LA SALLE UNISALLE",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
10,"COL0005584","GIP",1995,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD CATOLICA DE COLOMBIA UCC",9,"POR DEFINIR","9Z","POR DEFINIR",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
11,"COL0022164","GRUPO DE VIROLOGIA",1999,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD EL BOSQUE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
14,"COL0017656","UNIDAD ACADEMICA DE PROCESOS SISTEMICOS",1999,10,1,"Manizales",17,"Caldas","UNIVERSIDAD DE MANIZALES UMANIZALES",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
17,"COL0024534","INVESTIGACION Y DESARROLLO EN OPERACION Y PLANEACION DEL TRANSITO",2003,6,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
18,"COL0024122","LOGICA; EPISTEMOLOGIA Y FILOSOFIA DE LA CIENCIA",2002,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES; UNIVERSIDAD DEL ROSARIO",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
20,"COL0021292","GRUPO INVESTIGACION ECONOMIA SOCIAL (GRIES)",2002,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
22,"COL0021345","BIOTECNOLOGIA Y RECURSOS FITOGENETICOS",2002,7,1,"Quibd¢",27,"Choco","UNIVERSIDAD TECNOLOGICA DEL CHOCO - DIEGO LUIS CORDOBA; CENTRO INTERNACIONAL DE AGRICULTURA TROPICAL CIAT",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",1,"BIOTECNOLOGIA"
24,"COL0014313","PEDAGOGIA Y LENGUAJES",2000,2,1,"Bucaramanga",68,"Santander","UNIVERSIDAD COOPERATIVA DE COLOMBIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
25,"COL0021659","EDUCACION MATEMATICA",1981,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
28,"COL0014369","PERSEO",2000,10,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
29,"COL0021372","GRUBIODEQ(GRUPO DE BIOTECNOLOGIA. DEPTO DE QUIMICA Y DEPTO DE BIOLOGIA)",2003,6,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",9,"POR DEFINIR","9Z","POR DEFINIR",1,"BIOTECNOLOGIA"
30,"COL0016209","SISTEMAS COMPLEJOS",2000,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
31,"COL0023509","GESTION DE LA CONSTRUCCION",2001,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD EAFIT",2,"INGENIERIA Y TECNOLOGIA","2A","INGENIERIA CIVIL",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
33,"COL0020384","GEINEDUTP",2001,4,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
35,"COL0006788","GEOFISICA",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
36,"COL0022019","BIOLOGIA CELULAR Y FUNCIONAL E INGENIERIA DE BIOMOLECULAS",1984,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
37,"COL0024294","SOCIEDAD; CIENCIA Y TECNOLOGIA EN COLOMBIA",2000,7,1,"Bogot ",11,"Distrito Capital","OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGIA OCYT",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
40,"COL0001137","BIOTECNOLOGIA UNIAGRARIA",2000,12,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2D","INGENIERIA QUIMICA",1,"BIOTECNOLOGIA"
